dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
ev_bucket,5-10,verified_edge_bucket,0.5-1,110,51,59,0,0.4636363636363636,-24.97,-0.22699999999999998,3.3727272727272726,3.570090909090909,0.19736363636363627,0.6262354545454545,7.342372272727271,1.7355454545454547,0.19736363636363627,0.19736363636363627,0.6917272727272726,0.08004133106651264,-0.38388100889036475,-0.07011899110963521,-2.380796085346244,-0.38388100889036475,exploratory
line_bucket,1.5,ev_bucket,5-10,51,25,26,0,0.49019607843137253,-7.4799999999999995,-0.14666666666666667,1.5,1.8121568627450977,0.312156862745098,0.6092333333333334,7.454233333333336,1.807450980392157,0.312156862745098,0.312156862745098,0.44862745098039214,0.12602417031374566,-0.39367404048160815,0.10034070714827481,-1.0474095028529513,-0.39367404048160815,exploratory
projection_minus_line_bucket,0.25-0.5,probability_bucket,52.5-55%,36,17,19,0,0.4722222222222222,-2.54,-0.07055555555555555,3.138888888888889,3.521111111111111,0.3822222222222222,0.538298611111111,5.746429166666667,1.964722222222222,0.3822222222222222,0.3822222222222222,0.3822222222222222,0.16622367052250803,-0.39635394977967126,0.2552428386685602,-0.42333333333333334,-0.39635394977967126,exploratory
projection_minus_line_bucket,0.25-0.5,probability_bucket,45-50%,42,18,24,0,0.42857142857142855,-2.85,-0.06785714285714287,3.619047619047619,3.955238095238095,0.3361904761904762,0.48065238095238094,4.434677380952384,2.17452380952381,0.3361904761904762,0.3361904761904762,0.3361904761904762,0.168259359459716,-0.3976454873981863,0.2619312016839005,-0.439764547391962,-0.3976454873981863,exploratory
line_bucket,4.5,ev_bucket,5-10,49,23,26,0,0.46938775510204084,-6.699999999999999,-0.136734693877551,4.5,4.6479591836734695,0.14795918367346933,0.569369387755102,7.0644520408163265,1.8973469387755102,0.14795918367346933,0.14795918367346933,0.41653061224489796,0.13351997600651666,-0.3984338468503236,0.12496445909522164,-0.957142857142857,-0.3984338468503236,exploratory
probability_bucket,52.5-55%,ev_bucket,2-5,33,16,17,0,0.48484848484848486,-2.29,-0.0693939393939394,3.590909090909091,3.8203030303030303,0.22939393939393934,0.5381545454545454,3.3406060606060564,1.9206060606060606,0.22939393939393934,0.22939393939393934,0.24030303030303024,0.16961908047437757,-0.40184733712371945,0.26305945833584066,-0.3986378321385481,-0.40184733712371945,exploratory
projection_minus_line_bucket,0.5-1,verified_edge_bucket,0.5-1,125,53,72,0,0.424,-30.750000000000004,-0.24600000000000002,2.908,3.62824,0.7202399999999999,0.5899744,5.502129999999999,1.81536,0.7202399999999999,0.7202399999999999,0.7202399999999999,0.07998128813424366,-0.4027633247431176,-0.08923667525688248,-2.7503636123247417,-0.4027633247431176,exploratory
side,over,projection_minus_line_bucket,0.5-1,105,46,59,0,0.4380952380952381,-26.73,-0.25457142857142856,3.0428571428571427,3.77647619047619,0.7336190476190476,0.6144923809523809,5.611619523809523,1.725047619047619,0.7336190476190476,0.7336190476190476,0.7336190476190476,0.08303062550872713,-0.4173114545685337,-0.0918314025743234,-2.608580894991429,-0.4173114545685337,exploratory
side,over,verified_edge_bucket,0.5-1,105,46,59,0,0.4380952380952381,-26.73,-0.25457142857142856,3.0428571428571427,3.77647619047619,0.7336190476190476,0.6144923809523809,5.611619523809523,1.725047619047619,0.7336190476190476,0.7336190476190476,0.7336190476190476,0.08303062550872713,-0.4173114545685337,-0.0918314025743234,-2.608580894991429,-0.4173114545685337,exploratory
line_bucket,2.5,probability_bucket,45-50%,35,15,20,0,0.42857142857142855,-2.07,-0.059142857142857136,2.5,2.821714285714286,0.3217142857142858,0.4790542857142857,5.118878571428573,2.1962857142857146,0.3217142857142858,0.3217142857142858,0.3217142857142858,0.18645042210722285,-0.4245856844730139,0.3062999701872996,-0.3498938614576058,-0.4245856844730139,exploratory
