player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kyle Allen,26152,QB,DET,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,11,0,0,66.1,74.4,71.9,73.0,,,60.0,60.0,-1,0,0,0,0,7,0,0,0,1,0,-1,0,0.0,-1.0,,0
Mitch Trubisky,11757,QB,BUF,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,4,0,0,60.4,55.9,68.2,,,,57.9,60.0,4,0,0,0,0,2,4,1,0,0,0,4,1,1.0,4.0,,0
Brock Bowers,146715,TE,LV,1,1,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,23,0,0,64.6,59.6,78.6,,70.2,61.8,57.2,57.0,-4,0,31,1,29,18,0,0,2,2,0,-4,0,0.0,-4.0,1.07,0
Kalif Raymond,11028,WR,DET,1,1,1,0,0.0,0,0,10,0,0,1,13,260.0,1,1,11,0,0,73.4,82.3,77.0,,,82.1,62.8,57.3,10,0,49,4,17,21,0,0,4,5,0,10,13,13.0,10.0,2.88,0
Sterling Shepard,10674,WR,TB,1,1,0,0,0.0,0,0,11,0,0,0,1,0.0,1,1,30,0,0,67.4,55.7,0.0,,,56.8,63.1,59.1,11,1,20,3,36,7,0,0,4,4,0,11,1,1.0,11.0,0.56,0
Emanuel Wilson,154173,HB,GB,1,1,0,0,0.0,0,0,2,0,0,0,3,0.0,0,0,12,0,0,64.6,55.3,76.1,,75.7,56.9,56.6,,2,0,2,1,12,1,0,0,1,2,0,2,3,3.0,2.0,0.17,1
Raheem Mostert,9783,HB,LV,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,23,0,0,64.6,56.4,72.5,,15.7,76.8,60.0,60.0,4,0,11,1,3,2,0,0,1,2,0,4,2,2.0,4.0,3.67,1
Ollie Gordon II,157792,HB,MIA,1,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,17,0,1,61.9,52.9,67.1,,,58.0,56.8,,-3,0,0,0,2,1,0,0,0,1,0,-3,0,0.0,-3.0,0.0,0
Sione Vaki,158505,HB,DET,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,11,0,1,68.2,57.7,62.8,,,,59.0,,4,0,0,0,0,1,0,0,0,1,0,4,3,3.0,4.0,,0
John Metchie III,97400,WR,NYJ,1,1,0,0,0.0,0,0,-7,0,0,0,5,0.0,0,0,22,0,0,64.6,52.5,70.1,,,59.0,56.6,57.6,-7,0,3,1,2,6,0,0,1,2,0,-7,5,5.0,-7.0,1.5,0
Patrick Ricard,48862,FB,BLT,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,1,3,0,0,61.9,64.8,78.8,,49.9,57.2,61.4,63.8,3,0,0,0,3,25,0,0,0,1,0,3,0,0.0,3.0,0.0,0
Tyler Goodson,101659,HB,IND,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,14,0,1,61.9,57.9,66.4,,,59.6,59.6,,4,0,0,0,1,1,0,0,0,1,0,4,1,1.0,4.0,0.0,0
Zay Flowers,97268,WR,BLT,1,1,1,0,0.0,0,0,6,1,0,1,5,100.0,0,0,3,1,1,19.8,71.0,79.9,,,74.8,51.7,61.3,6,0,75,4,29,25,0,0,6,5,0,6,5,5.0,6.0,2.59,0
Malik Washington,97108,WR,MIA,1,1,1,0,0.0,0,0,4,0,0,1,5,166.7,0,0,17,0,0,72.0,63.3,77.6,,,62.7,,60.0,4,0,9,2,16,8,0,0,3,3,0,4,5,5.0,4.0,0.56,0
