slice,position,line_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag,side,fav_status,spread_bucket,total_bucket
position + line_bucket,WR,30-40,60,28,0,0.4666666666666667,-6.545454545454543,-0.10909090909090906,35.3,41.02916666666666,5.780833333333335,6.495454545454549,38.0,2.7,3.0291666666666663,-110.0,-110.0,-110.0,0.5578333333333334,0.523809523809524,0.034023809523809505,0.09116666666666673,projection_high,True,,,,
position + line_bucket,WR,40-50,91,47,0,0.5164835164835165,-1.272727272727269,-0.013986013986013944,44.895604395604394,50.44241758241758,5.59956043956044,6.380419580419588,52.120879120879124,7.225274725274725,-1.678461538461539,-110.0,-110.0,-110.0,0.5572307692307692,0.5238095238095238,0.033421245421245416,0.04074725274725266,projection_low,False,,,,
position + line_bucket,WR,50-60,65,28,0,0.4307692307692308,-11.545454545454543,-0.1776223776223776,54.65384615384615,61.13230769230769,6.478461538461539,5.982770212243902,56.292307692307695,1.6384615384615384,4.840000000000001,-110.06153846153846,-110.06153846153846,-109.93846153846154,0.5552923076923079,0.5239464585258978,0.0313458491664099,0.12452307692307707,projection_high,True,,,,
position + line_bucket,WR,60+,98,48,0,0.4897959183673469,-6.36363636363636,-0.0649350649350649,69.1938775510204,73.71295918367346,5.359489795918368,6.039694029623781,68.9795918367347,-0.21428571428571427,4.733367346938776,-110.12244897959184,-110.12244897959184,-107.85714285714286,0.555734693877551,0.5240721771334017,0.03166251674414938,0.0659387755102041,projection_high,True,,,,
position + line_bucket,WR,<20,24,15,0,0.625,4.636363636363638,0.19318181818181823,17.416666666666668,20.319166666666664,3.5150000000000006,5.477272727272737,29.833333333333332,12.416666666666666,-9.514166666666666,-110.0,-110.0,-110.0,0.5525000000000001,0.5238095238095238,0.028690476190476193,-0.0724999999999999,projection_low,False,,,,
side + position,RB,,84,40,0,0.47619047619047616,-7.636363636363633,-0.09090909090909087,21.178571428571427,24.080714285714286,2.902142857142857,6.124201195629773,23.678571428571427,2.5,0.4021428571428576,-107.44047619047619,-107.44047619047619,-110.20238095238095,0.5554285714285715,0.5233878104087164,0.03204076101985509,0.07923809523809533,projection_high,True,over,,,
side + position,TE,,130,64,0,0.49230769230769234,-7.758056758056753,-0.05967735967735964,33.80769230769231,38.1413076923077,4.333615384615386,6.4341907758301256,38.56153846153846,4.753846153846154,-0.4202307692307694,-110.03846153846153,-110.03846153846153,-108.43846153846154,0.5576000000000001,0.5238829612657006,0.0337170387342995,0.06529230769230776,projection_low,True,over,,,
side + position,WR,,402,205,0,0.5099502487562189,-10.63636363636362,-0.026458616010854776,44.80597014925373,50.35201492537313,5.558383084577115,6.246344986964157,49.485074626865675,4.67910447761194,0.8669402985074626,-110.01492537313433,-110.01492537313433,-109.49253731343283,0.5565621890547264,0.5238379118159608,0.03272427723876541,0.04661194029850757,projection_high,False,over,,,
side + position,RB,,8,5,0,0.625,1.5454545454545459,0.19318181818181823,25.125,23.55375,1.57125,4.952272727272737,25.25,0.125,-1.6962499999999991,-110.0,-110.0,-110.0,0.54975,0.5238095238095238,0.025940476190476194,-0.07525000000000004,projection_low,False,under,,,
side + position,TE,,13,8,0,0.6153846153846154,2.2727272727272734,0.17482517482517487,38.80769230769231,36.0476923076923,3.075384615384616,5.029370629370638,39.69230769230769,0.8846153846153846,-3.6446153846153853,-110.0,-110.0,-110.0,0.5501538461538461,0.5238095238095238,0.026344322344322345,-0.06523076923076931,projection_low,False,under,,,
