pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
12,Kenyon Sadiq,0.0206,0.0,0.0206,0.0206,v1,2026-04-17T08:11:29,,
18,Akheem Mesidor,0.0206,0.0,0.0206,0.0206,v1,2026-04-17T08:11:29,,
11,Rueben Bain,0.0204,0.0,0.0204,0.0204,v1,2026-04-17T08:11:29,,
26,Akheem Mesidor,0.0204,0.0,0.0204,0.0204,v1,2026-04-17T08:11:29,,
10,Monroe Freeling,0.0542,0.0339870861708633,0.020212913829136696,0.020212913829136696,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
23,Keldric Faulk,0.0202,0.0,0.0202,0.0202,v1,2026-04-17T08:11:29,,
5,Olaivavega Ioane,0.0,0.0201993423138936,-0.0201993423138936,0.0201993423138936,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
14,Jermod McCoy,0.0198,0.0,0.0198,0.0198,v1,2026-04-17T08:11:29,,
26,Emmanuel McNeil-Warren,0.0198,0.0,0.0198,0.0198,v1,2026-04-17T08:11:29,,
32,Emmanuel Pregnon,0.0198,0.0,0.0198,0.0198,v1,2026-04-17T08:11:29,,
20,Kevin Concepcion,0.0196,0.0,0.0196,0.0196,v1,2026-04-17T08:11:29,,
22,Dillon Thieneman,0.0196,0.0,0.0196,0.0196,v1,2026-04-17T08:11:29,,
12,Rueben Bain,0.019,0.0,0.019,0.019,v1,2026-04-17T08:11:29,,
17,Olaivavega Ioane,0.019,0.0,0.019,0.019,v1,2026-04-17T08:11:29,,
10,Kenyon Sadiq,0.0132,0.0321982921618705,-0.0189982921618705,0.0189982921618705,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
7,Omar Cooper Jr.,0.0,0.0189760182129194,-0.0189760182129194,0.0189760182129194,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
8,David Bailey,0.038,0.0191738656735271,0.0188261343264729,0.0188261343264729,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
21,Francis Mauigoa,0.0188,0.0,0.0188,0.0188,v1,2026-04-17T08:11:29,,
24,Spencer Fano,0.0188,0.0,0.0188,0.0188,v1,2026-04-17T08:11:29,,
18,Omar Cooper Jr.,0.0186,0.0,0.0186,0.0186,v1,2026-04-17T08:11:29,,
30,Max Iheanachor,0.0186,0.0,0.0186,0.0186,v1,2026-04-17T08:11:29,,
26,Caleb Lomu,0.0184,0.0,0.0184,0.0184,v1,2026-04-17T08:11:29,,
10,Francis Mauigoa,0.0224,0.040784503405036,-0.018384503405035998,0.018384503405035998,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
21,Olaivavega Ioane,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
21,Ty Simpson,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
24,Cashius Howell,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
27,Peter Woods,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
28,Colton Hood,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
30,Caleb Banks,0.0182,0.0,0.0182,0.0182,v1,2026-04-17T08:11:29,,
