season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Abram Smith,abram smith,FA,23796,15728.0,abram-smith.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Alex Armah Jr.,alex armah,FA,16707,13326.0,alex-armah.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Anthony McFarland Jr.,anthony mcfarland,FA,19366,14804.0,anthony-mcfarland.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Antonio Williams,antonio williams,FA,19843,15220.0,antonio-williams.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Austin Walter,austin walter,FA,19032,14368.0,austin-walter.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Bam Knight,bam knight,ARI,24901,15727.0,zonovan-bam-knight.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ben Mason,ben mason,FA,23298,15455.0,ben-mason.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Benny Snell Jr.,benny snell,FA,18609,14072.0,benjamin-snell-jr.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Boston Scott,boston scott,FA,17612,13814.0,boston-scott.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Brandon Bolden,brandon bolden,FA,11410,10932.0,brandon-bolden.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
