"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Josiah Deguara","TE","GB",13,4.45,0.599,0.0472,3.82,4.96,-2.15,-1.54,-3.16,378,252,366,29,"11",29,NA,NA,23,1
"Ed Oliver","DL","BUF",7,1.88,NA,0.02,NA,NA,-2.15,NA,NA,379,NA,NA,60,"6",28,NA,NA,NA,2
"Josh Johnson","QB","BAL",8,15.3,1.56,0.0541,13.7,16.7,-2.16,-1.87,-2.19,381,291,299,18,"7",39,NA,NA,75,13
"Blake Jarwin","TE","DAL",7,4.4,NA,0.0273,NA,NA,-2.2,NA,NA,386,NA,NA,30,"11",31,NA,NA,NA,4
"Carson Wentz","QB","IND",14,15.2,1.15,0.0606,13.6,16.4,-2.22,-1.96,-2.43,391,303,315,19,"7",33,NA,NA,34,5
"Keelan Cole","WR","NYJ",6,6.77,1.81,0.17,5.21,8.68,-2.22,-2.1,-1.79,390,317,267,57,"10",33,NA,NA,58,4
"Blake Bell","TE","KC",12,4.37,2.79,0.254,2.37,7.44,-2.22,-2.99,-0.679,394,375,181,31,"11",34,NA,NA,99,6
"Browns","DST","CLE",13,3.91,0.289,0,3.62,4.37,-2.22,-1.76,-2.12,393,278,291,32,"19",NA,NA,NA,10,NA
"Benardrick McKinney","LB","NYG",10,3.96,NA,0.04,NA,NA,-2.22,NA,NA,392,NA,NA,51,"3",33,NA,NA,NA,6
"Brett Maher","K","NO",6,6.73,0.769,0.324,5.84,7.78,-2.26,-1.48,-2.44,399,247,317,23,"3",56,NA,NA,15,4
"Robert Quinn","LB","CHI",10,3.92,NA,0.00169,NA,NA,-2.26,NA,NA,400,NA,NA,52,"3",35,NA,NA,NA,10
"Andrew Van Ginkel","LB","MIA",14,3.92,0.311,0.0398,3.71,4.13,-2.26,-1.38,-3.43,402,240,376,53,"3",30,NA,NA,12,2
"Cam Newton","QB","CAR",13,15.1,1.39,0.3,13.6,17,-2.28,-1.99,-1.91,406,308,279,20,"7",37,NA,NA,62,10
"Tyus Bowser","LB","BAL",8,3.88,1.2,0.0391,3.06,4.71,-2.3,-2.02,-2.86,407,312,347,54,"3",30,NA,NA,37,4
"Dontrell Hilliard","RB","TEN",13,6.67,1.78,0.158,4.96,9.15,-2.33,-1.77,-1.82,411,279,270,44,"8",56,NA,NA,65,3
"Drue Tranquill","LB","LAC",7,3.84,1.95,0.00596,2.51,5.19,-2.34,-2.58,-2.37,413,344,309,55,"3",30,NA,NA,74,2
"Donta Hightower","LB","NE",14,3.83,2.13,0.0134,2.38,5.31,-2.35,-2.7,-2.25,414,361,303,56,"3",36,NA,NA,79,9
"Eric Wilson","LB","HOU",10,3.82,NA,0.04,NA,NA,-2.36,NA,NA,415,NA,NA,57,"3",31,NA,NA,NA,4
"Tim Patrick","WR","DEN",11,6.6,1.61,0.0469,4.23,8.12,-2.39,-3.08,-2.34,418,378,308,58,"10",32,NA,NA,49,4
"Ryan Connelly","LB","MIN",7,3.78,NA,0.08,NA,NA,-2.4,NA,NA,420,NA,NA,58,"3",NA,NA,NA,NA,2
"Rashod Bateman","WR","BAL",8,6.56,1.15,0.267,5.33,8.14,-2.43,-1.98,-2.33,425,306,306,59,"10",26,NA,NA,21,0
"Brevin Jordan","TE","HOU",10,4.12,1.72,0.0319,1.92,5.8,-2.48,-3.44,-2.32,429,395,304,32,"11",25,NA,NA,77,0
"Anthony Hitchens","LB","KC",12,3.7,NA,0.07,NA,NA,-2.48,NA,NA,430,NA,NA,59,"3",33,NA,NA,NA,7
"Devontae Booker","RB","NYG",10,6.51,0.97,0.434,5.35,7.4,-2.49,-1.37,-3.57,431,239,383,45,"8",33,NA,NA,17,5
"Jonnu Smith","TE","NE",14,4.09,1.69,0.197,2.27,6.31,-2.51,-3.1,-1.81,435,379,269,33,"11",30,NA,NA,74,4
